"Name"	"FC"	"PValue"	"Marker"
"334"	"ID334"	0.463158	0.005994	0
"335"	"ID335"	4.726107	0.000268	0
"336"	"ID336"	0.547034	0.132283	0
"337"	"ID337"	0.938604	0.855525	0
"338"	"ID338"	1.30402	0.03348	0
"339"	"ID339"	2.341523	0.302435	0
"340"	"ID340"	1.609672	0.241155	0
"341"	"ID341"	0.968886	0.779519	0
"342"	"ID342"	0.893026	0.107632	0
"343"	"ID343"	0.73281	0.327078	0
"344"	"ID344"	0.8038	0.315961	0
"345"	"ID345"	0.093015	0.351275	0
"346"	"ID346"	1.166551	0.831184	0
"347"	"ID347"	11.723845	0.001614	0
"348"	"ID348"	0.219552	0.003285	0
"349"	"ID349"	0.83719	0.706145	0
"350"	"ID350"	1.500883	0.328571	0
"351"	"ID351"	0.08471	0.156698	0
"352"	"ID352"	0.486255	0.208313	0
"353"	"ID353"	2.069425	0.376571	0
"354"	"ID354"	0.645579	0.25882	0
"355"	"ID355"	0.358354	0.022266	0
"356"	"ID356"	0.658114	0.200116	0
"357"	"ID357"	1.697519	0.001274	0
"358"	"ID358"	0.762785	0.493857	0
"359"	"ID359"	1.373864	0.348936	0
"360"	"ID360"	0.280402	0.190418	0
"361"	"ID361"	1.974103	0.02023	0
"362"	"ID362"	0.95265	0.923843	0
"363"	"ID363"	0.652414	0.668046	0
"364"	"ID364"	3.17591	2e-06	0
"365"	"ID365"	0.527641	0.1105	0
"366"	"ID366"	0.518476	0.037288	0
"367"	"ID367"	2.948931	0.161917	0
"368"	"ID368"	7.163013	0.368802	0
"369"	"ID369"	1.751914	0.00033	0
"370"	"ID370"	0.394849	0.372426	0
"371"	"ID371"	4.702411	0.025064	0
"372"	"ID372"	0.801874	0.521751	0
"373"	"ID373"	0.22591	0.01905	0
"374"	"ID374"	0.943798	0.934596	0
"375"	"ID375"	4.62716	0.0148	0
"376"	"ID376"	0.616986	0.295034	0
"377"	"ID377"	0.514265	0.006239	0
"378"	"ID378"	1.502283	0.34541	0
"379"	"ID379"	0.415093	0.023122	0
"380"	"ID380"	0.912461	0.43287	0
"381"	"ID381"	1.088476	0.394009	0
"382"	"ID382"	0.852379	0.824642	0
"383"	"ID383"	1.488052	0.008824	0
"384"	"ID384"	4.721854	0.003012	0
"385"	"ID385"	1.373776	0.03189	0
"386"	"ID386"	1.09935	0.561439	0
"387"	"ID387"	23.420342	6e-06	0
"388"	"ID388"	1.159061	0.001923	0
"389"	"ID389"	0.127127	8.9e-05	0
"390"	"ID390"	0.980946	0.878273	0
"391"	"ID391"	1.784934	0.253298	0
"392"	"ID392"	0.267543	0.000514	0
"393"	"ID393"	0.362203	0.109929	0
"394"	"ID394"	0.477965	0.007829	0
"395"	"ID395"	1.248386	0.126133	0
"396"	"ID396"	0.402685	0.375898	0
"397"	"ID397"	2.355446	0.041717	0
"398"	"ID398"	0.900669	0.359786	0
"399"	"ID399"	0.73743	0.029735	0
"400"	"ID400"	0.136142	0.001087	0
"401"	"ID401"	1.906125	0.329723	0
"402"	"ID402"	1.777088	0.000939	0
"403"	"ID403"	0.448078	0.003026	0
"404"	"ID404"	3.619677	0.031732	0
"405"	"ID405"	0.707284	0.0216	0
"406"	"ID406"	3.691767	0.041292	0
"407"	"ID407"	0.441013	0	0
"408"	"ID408"	2.664593	0.000368	0
"409"	"ID409"	1.069515	0.853715	0
"410"	"ID410"	2.238325	0.192527	0
"411"	"ID411"	1.921552	0.236982	0
"412"	"ID412"	1.382011	0.306808	0
"413"	"ID413"	0.878529	0.893728	0
"414"	"ID414"	6.792843	0.003083	0
"415"	"ID415"	0.929629	0.700829	0
"416"	"ID416"	3.987102	0.026196	0
"417"	"ID417"	1.523808	0.615278	0
"418"	"ID418"	0.727834	0.679482	0
"419"	"ID419"	0.115454	0.000125	0
"420"	"ID420"	0.966489	0.928888	0
"421"	"ID421"	0.507085	0.174684	0
"422"	"ID422"	1.069205	0.848869	0
"423"	"ID423"	4.739393	4e-06	0
"424"	"ID424"	0.257902	0.007445	0
"425"	"ID425"	1.278533	0.002497	0
"426"	"ID426"	0.53235	0.009647	0
"427"	"ID427"	0.901379	0.443695	0
"428"	"ID428"	0.810476	0.235793	0
"429"	"ID429"	0.404673	0.258239	0
"430"	"ID430"	1.107753	0.803629	0
"431"	"ID431"	1.603875	0.235737	0
"432"	"ID432"	1.331313	0.622723	0
"433"	"ID433"	1.51422	0.062409	0
"434"	"ID434"	1.998584	0.037483	0
"435"	"ID435"	2.074199	0.43224	0
"436"	"ID436"	0.726441	0.428904	0
"437"	"ID437"	0.862926	0.384616	0
"438"	"ID438"	5.607559	0.002197	0
"439"	"ID439"	0.325509	0.017908	0
"440"	"ID440"	0.976589	0.951472	0
"441"	"ID441"	1.022017	0.768804	0
"442"	"ID442"	0.956562	0.73249	0
"443"	"ID443"	63.280691	1.2e-05	0
"444"	"ID444"	1.412925	0.387658	0
"445"	"ID445"	0.308479	0.277026	0
"446"	"ID446"	1.40542	0.009501	0
"447"	"ID447"	0.751212	0.007712	0
"448"	"ID448"	1.359569	0.037597	0
"449"	"ID449"	1.178186	0.529384	0
"450"	"ID450"	1.704334	0.000899	0
"451"	"ID451"	1.825318	0.188296	0
"452"	"ID452"	0.672955	0.001213	0
"453"	"ID453"	1.515347	0.02111	0
"454"	"ID454"	0.29866	0.015325	0
"455"	"ID455"	1.196522	0.623993	0
"456"	"ID456"	1.217556	0.32999	0
"457"	"ID457"	1.069811	0.721138	0
"458"	"ID458"	1.470542	0.418591	0
"459"	"ID459"	0.969012	0.882947	0
"460"	"ID460"	2.562483	0.038181	0
"461"	"ID461"	0.651484	0.378143	0
"462"	"ID462"	4.161941	0.001697	0
"463"	"ID463"	0.89878	0.127336	0
"464"	"ID464"	3.249652	0.131701	0
"465"	"ID465"	1.051587	0.751733	0
"466"	"ID466"	0.619543	0.258705	0
"467"	"ID467"	0.758139	0.002608	0
"468"	"ID468"	1.446456	0.468263	0
"469"	"ID469"	2.009645	0.000357	0
"470"	"ID470"	0.95848	0.902414	0
"471"	"ID471"	2.12685	0.000452	0
"472"	"ID472"	1.473568	0.508023	0
"473"	"ID473"	1.897948	0.021342	0
"474"	"ID474"	0.799121	0.70772	0
"475"	"ID475"	1.346651	0.004748	0
"476"	"ID476"	1.923956	0.210372	0
"477"	"ID477"	0.566908	0.539102	0
"478"	"ID478"	1.340798	0.101334	0
"479"	"ID479"	1.3863	0.020329	0
"480"	"ID480"	0.835666	0.663902	0
"481"	"ID481"	1.435625	0.433872	0
"482"	"ID482"	1.223298	0.744261	0
"483"	"ID483"	0.081859	0.018369	0
"484"	"ID484"	2.103447	0.214341	0
"485"	"ID485"	0.797198	0.140041	0
"486"	"ID486"	2.170687	0.073578	0
"487"	"ID487"	1.396957	0.516856	0
"488"	"ID488"	0.445096	0.187169	0
"489"	"ID489"	0.931314	0.863023	0
"490"	"ID490"	1.809979	0.187499	0
"491"	"ID491"	14.382552	0.000376	0
"492"	"ID492"	0.201782	0.009762	0
"493"	"ID493"	0.471167	0.271461	0
"494"	"ID494"	0.864669	0.657491	0
"495"	"ID495"	0.449272	0.001253	0
"496"	"ID496"	0.768178	0.671316	0
"497"	"ID497"	1.139184	0.521798	0
"498"	"ID498"	5.128212	0.010213	0
"499"	"ID499"	0.035282	0.000447	0
"500"	"ID500"	0.093007	0.038636	0
"501"	"ID501"	0.10795	0.004912	0
"502"	"ID502"	2.93064	3.4e-05	0
"503"	"ID503"	2.015226	0.000375	0
"504"	"ID504"	0.297863	0.048394	0
"505"	"ID505"	1.291976	0.525187	0
"506"	"ID506"	1.179261	0.619907	0
"507"	"ID507"	0.819618	0.74915	0
"508"	"ID508"	0.596004	0.199968	0
"509"	"ID509"	1.035975	0.912168	0
"510"	"ID510"	3.112768	0.071918	0
"511"	"ID511"	0.744388	0.572759	0
"512"	"ID512"	1.067116	0.772616	0
"513"	"ID513"	1.156917	0.447088	0
"514"	"ID514"	1.128252	0.272942	0
"515"	"ID515"	0.156878	0.001845	0
"516"	"ID516"	1.642279	0.05622	0
"517"	"ID517"	2.667334	0.012051	0
"518"	"ID518"	0.808638	0.732689	0
"519"	"ID519"	0.910894	0.71119	0
"520"	"ID520"	1.027171	0.974443	0
"521"	"ID521"	0.097963	3.8e-05	0
"522"	"ID522"	0.71403	0.41606	0
"523"	"ID523"	1.779483	0.403056	0
"524"	"ID524"	1.899693	0.000813	0
"525"	"ID525"	0.662255	0.401243	0
"526"	"ID526"	1.042106	0.857646	0
"527"	"ID527"	1.156474	0.744222	0
"528"	"ID528"	1.667635	0.223404	0
"529"	"ID529"	2.902038	0.311828	0
"530"	"ID530"	0.484	0.107587	0
"531"	"ID531"	0.844508	0.188951	0
"532"	"ID532"	1.367111	0.34016	0
"533"	"ID533"	0.511197	0.304598	0
"534"	"ID534"	1.607982	0.01133	0
"535"	"ID535"	0.833388	0.582061	0
"536"	"ID536"	1.043804	0.546999	0
"537"	"ID537"	0.618846	0.221307	0
"538"	"ID538"	1.169026	0.759877	0
"539"	"ID539"	0.652887	0.458306	0
"540"	"ID540"	17.118214	7.9e-05	0
"541"	"ID541"	1.035062	0.963296	0
"542"	"ID542"	0.311693	0.000109	0
"543"	"ID543"	0.750863	0.00257	0
"544"	"ID544"	0.773819	0.567407	0
"545"	"ID545"	0.81125	0.507867	0
"546"	"ID546"	1.575458	0.507372	0
"547"	"ID547"	0.95648	0.353019	0
"548"	"ID548"	0.751773	0.373844	0
"549"	"ID549"	0.564412	0.223802	0
"550"	"ID550"	5.995346	0.00588	0
"551"	"ID551"	1.718345	0.152442	0
"552"	"ID552"	5.026587	0.102709	0
"553"	"ID553"	0.413602	0.209689	0
"554"	"ID554"	3.655682	0.427566	0
"555"	"ID555"	1.009306	0.852459	0
"556"	"ID556"	0.09595	0.009931	0
"557"	"ID557"	0.629734	0.247585	0
"558"	"ID558"	1.027967	0.889916	0
"559"	"ID559"	2.518173	0.006121	0
"560"	"ID560"	0.484514	1.6e-05	0
"561"	"ID561"	3.605504	0.002673	0
